ts_code,name
510300.SH,沪深300
510050.SH,上证50
510500.SH,中证500
512100.SH,中证1000ETF
588000.SH,科创50ETF
588080.SH,科创板50
159915.SZ,创业板ETF
159952.SZ,创业板ETF广发
159949.SZ,创业板50
563360.SH,中证A500ETF
513100.SH,纳指ETF
513500.SH,标普500ETF
159920.SZ,恒生ETF
513180.SH,恒生科技ETF
513050.SH,中概互联ETF
515080.SH,中证红利ETF招商
159525.SZ,红利低波ETF富国
512480.SH,半导体ETF国联安
515980.SH,人工智能ETF
515230.SH,软件ETF国泰
515880.SH,通信ETF国泰
159779.SZ,消费电子ETF
159890.SZ,云计算ETF招商
159869.SZ,游戏ETF华夏
159851.SZ,金融科技ETF华宝
562500.SH,机器人ETF华夏
159755.SZ,电池ETF广发
515030.SH,新能源车ETF华夏
159857.SZ,光伏ETF
159326.SZ,电网设备ETF华夏
159227.SZ,航空航天ETF华夏
512660.SH,军工ETF国泰
563230.SH,卫星ETF富国
159992.SZ,创新药ETF
512010.SH,医药ETF
159883.SZ,医疗器械ETF
515170.SH,食品ETF华夏
512690.SH,酒ETF鹏华
159867.SZ,畜牧ETF
561120.SH,家电ETF富国
159855.SZ,影视ETF
512800.SH,银行ETF华宝
159892.SZ,非银ETF
159841.SZ,证券ETF
512880.SH,证券ETF国泰
512200.SZ,房地产ETF
159713.SZ,稀土ETF富国
159980.SZ,有色ETF大成
515210.SH,钢铁ETF国泰
515220.SH,煤炭ETF国泰
159870.SZ,化工ETF
516750.SH,建材ETF富国
561760.SH,油气ETF博时
561360.SH,石油ETF国泰
518880.SH,黄金ETF
159934.SZ,黄金ETF易方达
159985.SZ,豆粕ETF华夏
511010.SH,国债ETF国泰
511260.SH,十年国债ETF国泰
511090.SH,30年国债ETF鹏扬
511030.SH,公司债ETF平安
511360.SH,短融ETF海富通
511380.SH,可转债ETF博时
159396.SZ,信用债ETF博时
