date,kind,ts_code,name,weight,nav
2024-05-24,weekly,513100.SH,纳指ETF,0.3145242189011974,1000000.0
2024-05-24,weekly,159985.SZ,豆粕ETF华夏,0.3038404150310845,1000000.0
2024-05-24,weekly,513500.SH,标普500ETF,0.381635366067718,1000000.0
2024-05-31,weekly,513100.SH,纳指ETF,0.29041289625881495,987402.840792807
2024-05-31,weekly,513500.SH,标普500ETF,0.35089216986214805,987402.840792807
2024-05-31,weekly,518880.SH,黄金ETF,0.358694933879037,987402.840792807
2024-06-07,weekly,513100.SH,纳指ETF,0.4543663068875849,1013824.9368912189
2024-06-07,weekly,513500.SH,标普500ETF,0.545633693112415,1013824.9368912189
2024-06-14,weekly,513100.SH,纳指ETF,0.45144517991768984,1033181.5018626077
2024-06-14,weekly,513500.SH,标普500ETF,0.54855482008231,1033181.5018626077
2024-06-21,weekly,513100.SH,纳指ETF,0.4365155043557331,1041325.449761121
2024-06-21,weekly,513500.SH,标普500ETF,0.5355975755502409,1041325.449761121
2024-06-28,weekly,513100.SH,纳指ETF,0.44748537346056794,1065757.633637754
2024-06-28,weekly,513500.SH,标普500ETF,0.5525146265394321,1065757.633637754
2024-07-05,weekly,513100.SH,纳指ETF,0.2918593808841934,1089775.189155263
2024-07-05,weekly,513500.SH,标普500ETF,0.35829150756764355,1089775.189155263
2024-07-05,weekly,159934.SZ,黄金ETF易方达,0.349849111548163,1089775.189155263
2024-07-12,weekly,513100.SH,纳指ETF,0.2780432071272457,1082844.8088956797
2024-07-12,weekly,513500.SH,标普500ETF,0.3614958620707936,1082844.8088956797
2024-07-12,weekly,518880.SH,黄金ETF,0.3604609308019608,1082844.8088956797
2024-07-19,weekly,512800.SH,银行ETF华宝,0.32901727785815943,1077700.1243912566
2024-07-19,weekly,518880.SH,黄金ETF,0.33887050060932533,1077700.1243912566
2024-07-19,weekly,513500.SH,标普500ETF,0.33211222153251513,1077700.1243912566
2024-07-26,weekly,512800.SH,银行ETF华宝,0.4949017766596723,1052559.885505917
2024-07-26,weekly,518880.SH,黄金ETF,0.5050982233403277,1052559.885505917
2024-08-02,weekly,518880.SH,黄金ETF,0.5062106100878205,1070079.3180580814
2024-08-02,weekly,512800.SH,银行ETF华宝,0.4937893899121794,1070079.3180580814
2024-08-09,weekly,(空仓),(空仓),0.0,1054359.918409719
2024-08-16,weekly,518880.SH,黄金ETF,0.7193372153069767,1053832.7371543306
2024-08-16,weekly,513500.SH,标普500ETF,0.02614923906759547,1053832.7371543306
2024-08-16,weekly,513100.SH,纳指ETF,0.020570441894915668,1053832.7371543306
2024-08-16,weekly,512800.SH,银行ETF华宝,0.033206676293819584,1053832.7371543306
2024-08-23,weekly,512800.SH,银行ETF华宝,0.3114177260728632,1061141.5728538649
2024-08-23,weekly,513100.SH,纳指ETF,0.19340324313645854,1061141.5728538649
2024-08-23,weekly,518880.SH,黄金ETF,0.3161740257689751,1061141.5728538649
2024-08-30,weekly,513500.SH,标普500ETF,0.1811034359310135,1037996.509255144
2024-08-30,weekly,513100.SH,纳指ETF,0.14151647550951948,1037996.509255144
2024-08-30,weekly,518880.SH,黄金ETF,0.23392829324211598,1037996.509255144
2024-09-06,weekly_trail,518880.SH,黄金ETF,1.0,1027185.6245146388
2024-09-13,weekly_trail,518880.SH,黄金ETF,1.0,1044123.3529239408
2024-09-20,weekly,159985.SZ,豆粕ETF华夏,0.3991626397285928,1053799.7767970553
2024-09-20,weekly,518880.SH,黄金ETF,0.5008373602714072,1053799.7767970553
2024-09-20,weekly,513500.SH,标普500ETF,0.03356409694987009,1053799.7767970553
2024-09-20,weekly,512800.SH,银行ETF华宝,0.04036514680905484,1053799.7767970553
2024-09-20,weekly,513100.SH,纳指ETF,0.02607075624107506,1053799.7767970553
2024-09-27,weekly,159934.SZ,黄金ETF易方达,0.38766049935654967,1063568.6614712474
2024-09-27,weekly,518880.SH,黄金ETF,0.38732412262141896,1063568.6614712474
2024-09-27,weekly,513100.SH,纳指ETF,0.2250153780220313,1063568.6614712474
2024-10-11,weekly,159934.SZ,黄金ETF易方达,0.4277726919814457,1069699.5774644108
2024-10-11,weekly,513100.SH,纳指ETF,0.25146087011288487,1069699.5774644108
2024-10-11,weekly,513500.SH,标普500ETF,0.3207664379056694,1069699.5774644108
2024-10-18,weekly,159934.SZ,黄金ETF易方达,0.42801044519352477,1098383.8015211583
2024-10-18,weekly,513500.SH,标普500ETF,0.3179300528297649,1098383.8015211583
2024-10-18,weekly,513100.SH,纳指ETF,0.25405950197671023,1098383.8015211583
2024-10-25,weekly,159934.SZ,黄金ETF易方达,0.42468893756761045,1096128.7871748405
2024-10-25,weekly,513500.SH,标普500ETF,0.3182522125784387,1096128.7871748405
2024-10-25,weekly,513100.SH,纳指ETF,0.25705884985395083,1096128.7871748405
2024-11-01,weekly,159934.SZ,黄金ETF易方达,0.42363744980836154,1094097.2871262021
2024-11-01,weekly,513100.SH,纳指ETF,0.2575736932308699,1094097.2871262021
2024-11-01,weekly,513500.SH,标普500ETF,0.3187888569607685,1094097.2871262021
2024-11-08,weekly,513100.SH,纳指ETF,0.25602940394984347,1114979.3946687442
2024-11-08,weekly,159934.SZ,黄金ETF易方达,0.4113634239356295,1114979.3946687442
2024-11-08,weekly,159985.SZ,豆粕ETF华夏,0.33260717211452695,1114979.3946687442
2024-11-15,weekly,513100.SH,纳指ETF,0.22776225270712305,1090313.5935539994
2024-11-15,weekly,513500.SH,标普500ETF,0.27611209308858686,1090313.5935539994
2024-11-15,weekly,159985.SZ,豆粕ETF华夏,0.2882364083469207,1090313.5935539994
2024-11-22,weekly,513500.SH,标普500ETF,0.2483481663327888,1092530.781288722
2024-11-22,weekly,513100.SH,纳指ETF,0.2046299958876125,1092530.781288722
2024-11-22,weekly,511090.SH,30年国债ETF鹏扬,0.5470218377795988,1092530.781288722
2024-11-29,weekly,513500.SH,标普500ETF,0.24493242906689358,1107040.3898757352
2024-11-29,weekly,513100.SH,纳指ETF,0.20376243330188248,1107040.3898757352
2024-11-29,weekly,511090.SH,30年国债ETF鹏扬,0.551305137631224,1107040.3898757352
2024-12-06,weekly,513500.SH,标普500ETF,0.242688130951577,1126236.4254490512
2024-12-06,weekly,513100.SH,纳指ETF,0.20202200665894898,1126236.4254490512
2024-12-06,weekly,511090.SH,30年国债ETF鹏扬,0.5552898623894741,1126236.4254490512
2024-12-13,weekly,513100.SH,纳指ETF,0.20439957426394617,1153631.4947928458
2024-12-13,weekly,513500.SH,标普500ETF,0.24641731404659223,1153631.4947928458
2024-12-13,weekly,511090.SH,30年国债ETF鹏扬,0.5491831116894617,1153631.4947928458
2024-12-20,weekly,513100.SH,纳指ETF,0.19292227799903758,1141739.3865540607
2024-12-20,weekly,511090.SH,30年国债ETF鹏扬,0.5117406587399483,1141739.3865540607
2024-12-20,weekly,159934.SZ,黄金ETF易方达,0.2953370632610141,1141739.3865540607
2024-12-27,weekly,513100.SH,纳指ETF,0.1914924457042128,1156016.4925340102
2024-12-27,weekly,511090.SH,30年国债ETF鹏扬,0.5079117030902139,1156016.4925340102
2024-12-27,weekly,159934.SZ,黄金ETF易方达,0.3005958512055733,1156016.4925340102
2025-01-03,weekly,511090.SH,30年国债ETF鹏扬,0.5258323066759507,1168254.9629800082
2025-01-03,weekly,513100.SH,纳指ETF,0.2017790310820062,1168254.9629800082
2025-01-03,weekly,159985.SZ,豆粕ETF华夏,0.2723886622420431,1168254.9629800082
2025-01-10,weekly,511090.SH,30年国债ETF鹏扬,0.46238403442538495,1159651.9928530294
2025-01-10,weekly,159934.SZ,黄金ETF易方达,0.29394505839026497,1159651.9928530294
2025-01-10,weekly,159985.SZ,豆粕ETF华夏,0.24367090718435017,1159651.9928530294
2025-01-17,weekly,159934.SZ,黄金ETF易方达,0.32291971349611853,1175306.953127984
2025-01-17,weekly,518880.SH,黄金ETF,0.324488290094334,1175306.953127984
2025-01-17,weekly,159985.SZ,豆粕ETF华夏,0.25259199640954755,1175306.953127984
