date,kind,ts_code,ETF名称,权重
2026-02-27,weekly,515220.SH,煤炭ETF国泰,0.1863
2026-02-27,weekly,159985.SZ,豆粕ETF华夏,0.4455
2026-02-27,weekly,513500.SH,标普500ETF,0.0385
2026-02-27,weekly,513100.SH,纳指ETF,0.0317
2026-03-06,weekly,515220.SH,煤炭ETF国泰,0.0976
2026-03-06,weekly,159985.SZ,豆粕ETF华夏,0.2196
2026-03-06,weekly,518880.SH,黄金ETF,0.0983
2026-03-06,weekly,513500.SH,标普500ETF,0.0254
2026-03-06,weekly,513100.SH,纳指ETF,0.0208
2026-03-13,weekly,518880.SH,黄金ETF,0.2091
2026-03-13,weekly,159980.SZ,有色ETF大成,0.2647
2026-03-13,weekly,513500.SH,标普500ETF,0.0289
2026-03-13,weekly,513100.SH,纳指ETF,0.0238
2026-03-20,weekly,159985.SZ,豆粕ETF华夏,0.2882
2026-03-20,weekly,159525.SZ,红利低波ETF富国,0.45
2026-03-27,weekly,159985.SZ,豆粕ETF华夏,0.3035
2026-03-27,weekly,513500.SH,标普500ETF,0.0103
2026-03-27,weekly,513100.SH,纳指ETF,0.0087
2026-03-27,weekly,159525.SZ,红利低波ETF富国,0.0148
2026-04-03,weekly,512800.SH,银行ETF华宝,0.6502
2026-04-10,weekly,513100.SH,纳指ETF,0.2185
2026-04-10,weekly,159980.SZ,有色ETF大成,0.1944
2026-04-17,weekly,513100.SH,纳指ETF,0.1337
2026-04-17,weekly,159980.SZ,有色ETF大成,0.1203
2026-04-17,weekly,513500.SH,标普500ETF,0.1656
